Угол	TotalAntenna	TotalRadom	ThetaRadom	PhiRadom
51.5	-46.4791246187594	-25.0492203822458	-29.9448403178102	-26.7492406580038
52	-52.9253140412304	-26.8883449890944	-28.6558335833712	-31.6464353254521
52.5	-40.9861629378272	-23.7962585505912	-28.1768125365455	-25.766520733951
53	-36.3309285279057	-22.0236285783187	-28.954661492005	-23.0075201625164
53.5	-33.7453010343732	-21.9945994646848	-31.3685957826896	-22.5276450990052
54	-32.3033035944562	-23.5216972599909	-35.5920701006041	-23.8000465783865
54.5	-31.7141516871236	-26.3432954140285	-37.8540686062554	-26.6613583666227
55	-31.9107100933412	-29.17959987415	-35.9188183152339	-30.2136446420995
55.5	-32.9833170116041	-31.3202651941837	-36.2763535953297	-32.9916097393456
56	-35.2664577123148	-36.6567333042567	-40.2281574194165	-39.1701830564168
56.5	-39.8487791768586	-37.6198058001255	-40.6376708881929	-40.6225537803997
57	-55.0043931879655	-29.3951936736125	-36.1180256254703	-30.4336542365539
57.5	-42.8241661951408	-26.7258655271246	-34.9883380973522	-27.4275625165621
58	-35.9226162505751	-27.2004581110053	-37.013513516408	-27.6793102220932
58.5	-32.5247519146213	-29.9455657982014	-42.0670665263499	-30.2205520656446
59	-30.6448603400603	-32.5297802658909	-49.4064641307723	-32.6198568628087
59.5	-29.7797428514213	-32.0598025283057	-54.0530332034804	-32.0873344873281
60	-29.7919551709487	-30.4330337809595	-46.3229224839702	-30.5463914735749
60.5	-30.7443780009872	-28.2435821055553	-41.0455665871974	-28.477591778833
61	-32.9661626996778	-26.6866929660192	-39.2340911461302	-26.9352423521829
61.5	-37.580749312084	-26.7025124105355	-39.8419208393132	-26.918586341504
62	-53.6185168045406	-28.1048056409194	-42.0668568531765	-28.2828176864582
62.5	-39.9613099803294	-28.9040216609727	-45.3507915985687	-29.0035795553544
63	-33.2690963594306	-28.0262298092112	-44.3116207067189	-28.1296019659383
63.5	-29.9785958769576	-28.1627040392176	-42.6578530721905	-28.3197762470841
64	-28.2192516804671	-31.0172295323301	-43.1424525253777	-31.291972603133
64.5	-27.5216161798378	-34.5898923521721	-42.978631705796	-35.2698210349977
65	-27.7873066103873	-30.2017138995676	-41.0998868345367	-30.570058302674
65.5	-29.1619581780052	-27.2559258744699	-40.7616549222782	-27.4541165676455
66	-32.2265413025278	-27.0146554855068	-40.9119848773894	-27.195396655658
66.5	-39.5081292667184	-28.8225212104769	-37.0429339793802	-29.5316358300581
67	-45.1412184109582	-30.7636631856501	-32.9943645569967	-34.7248066247234
67.5	-33.0845140157085	-29.8097358502555	-30.6430875115044	-37.389310916399
68	-28.5303972162317	-28.0359791126525	-29.5407081320552	-33.3699023972732
68.5	-26.1115322789692	-27.1755065279049	-29.322092786451	-31.2650409476886
69	-24.9485361672192	-27.2506789883332	-29.9180844274162	-30.6332852608947
69.5	-24.8113955036272	-28.0924495156516	-30.9331741104395	-31.2792160907783
70	-25.7556217338771	-29.400698731302	-31.2239470243543	-34.0498614942444
70.5	-28.1938303418075	-29.9871818854958	-30.5048956210075	-39.4804138123099
71	-33.7417504971833	-28.4112396972307	-29.8982789733263	-33.7881834361224
71.5	-54.4898846574599	-26.1321229716422	-29.8182644784049	-28.5577293491405
72	-31.7125369410166	-24.6839511024704	-30.1593590420246	-26.1314178432124
72.5	-26.2097730531317	-24.3666373895533	-30.966693268642	-25.4388668760081
73	-23.3756341934116	-25.0284248817644	-32.2387663654005	-25.9440727151868
73.5	-21.9554570291064	-25.9866698534922	-32.2556763953964	-27.1563151341602
74	-21.6333565576456	-26.2424902292681	-30.1705980355323	-28.4955122490262
74.5	-22.4370942939529	-25.9599777357862	-28.4825538931184	-29.5197857598936
75	-24.7768278812674	-26.0364978746875	-28.2324690098683	-30.0498929112648
75.5	-30.3251505368927	-26.2381726739661	-29.2245124140214	-29.2725657704361
76	-48.486784265042	-25.1023368004138	-30.221909331485	-26.699016859981
76.5	-27.6597856968733	-22.8189519487313	-29.7673943313546	-23.7984280275934
77	-22.1558962418288	-20.8716444512067	-28.866641001716	-21.6219911158483
77.5	-19.2708520806856	-19.7625076753033	-28.6935714732852	-20.3568786537106
78	-17.7978178092488	-19.4019957133816	-29.1681404593583	-19.8863492329693
78.5	-17.4409665370793	-19.5016391080929	-29.5265768580816	-19.9564519711993
79	-18.2594845355218	-19.6920118576763	-29.224082353682	-20.2048331445347
79.5	-20.7587593797813	-19.6333251258572	-28.5637469086092	-20.2277902743268
80	-27.1787474567419	-19.0594818543811	-27.9382547746621	-19.6615753678068
80.5	-34.913675954795	-17.8039840339726	-27.4012268828522	-18.3087054353341
81	-21.1337265997555	-15.9952716861428	-26.8076295523628	-16.3712943415108
81.5	-16.0313424205857	-14.0114071484024	-25.8929978835147	-14.3025464835714
82	-13.1808974250307	-12.1630764884038	-24.4822889574147	-12.4254473273754
82.5	-11.6365578068124	-10.5908630565527	-22.7725159704208	-10.8619463050161
83	-11.1740394338172	-9.33619482211076	-21.1293675597586	-9.63353190344471
83.5	-11.9129531491148	-8.40619830924768	-19.7475078821698	-8.73741240719492
84	-14.5215473255459	-7.79750656183446	-18.6097768893919	-8.17353713439416
84.5	-22.4718224782221	-7.49827765100891	-17.5996929357834	-7.9447289989195
85	-21.478795098892	-7.48738916319099	-16.6380985897696	-8.05045963830286
85.5	-10.8392957506307	-7.74032514495437	-15.7648842726217	-8.48511887783622
86	-5.58845340124476	-8.24230669344402	-15.1081401605368	-9.24293345492756
86.5	-2.06299635753964	-9.00169974399013	-14.8051340346836	-10.3259577427502
87	0.527578442249358	-10.0546113666373	-14.9636068225676	-11.7482377932574
87.5	2.49065937731393	-11.4586188513027	-15.6712244122961	-13.5283146968956
88	3.97772875108113	-13.2829226447435	-17.0320594068322	-15.6619940407565
88.5	5.07326096816984	-15.6003012072111	-19.2369313285262	-18.0633185308511
89	5.82723390512289	-18.4467599845288	-22.7477747092236	-20.4633508322184
89.5	6.26919076067622	-21.4746526141839	-29.0098117235367	-22.3174581967252
90	6.41486042283538	-22.6741776576261	-35.5253035156651	-22.9054829998196
90.5	6.26919076067622	-20.5419199910749	-26.4696155969586	-21.8227224174575
91	5.82723390512289	-17.527885081331	-21.8442056765471	-19.5354560750199
91.5	5.07326096816986	-14.8870890632825	-19.1630076876772	-16.918579147401
92	3.97772875108117	-12.746237086462	-17.4967074029911	-14.5175580609488
92.5	2.49065937731399	-11.0677531999784	-16.507622889745	-12.5293579006391
93	0.527578442249441	-9.8097199964324	-16.0549580687695	-10.9867379104705
93.5	-2.06299635753967	-8.93010367620307	-16.0878829721546	-9.85818108115621
94	-5.58845340124471	-8.38030735459564	-16.6023561517742	-9.08913186284964
94.5	-10.8392957506306	-8.10814028698941	-17.6071329998441	-8.62512522734298
95	-21.4787950988922	-8.07045069920315	-19.0719743612344	-8.42976439470828
95.5	-22.4718224782224	-8.24710854614899	-20.8319297109431	-8.49346374336683
96	-14.521547325546	-8.6440745979448	-22.4946751517184	-8.82681270590782
96.5	-11.9129531491148	-9.28128050358019	-23.6597647609321	-9.44270979813426
97	-11.1740394338172	-10.1758048736999	-24.4369541395563	-10.3417405430303
97.5	-11.6365578068123	-11.3382586390435	-25.2583352489528	-11.5180357928399
98	-13.1808974250306	-12.7942635250515	-26.2365727398277	-12.9954381940468
98.5	-16.0313424205856	-14.6189202018333	-27.0157985183324	-14.8765000113168
99	-21.1337265997556	-16.9261858055986	-27.2978335451265	-17.3443632944209
99.5	-34.9136759547946	-19.6532387714247	-27.3973733018025	-20.4525655858805
100	-27.178747456742	-21.8069074715348	-27.8039758643475	-23.0641670970092
100.5	-20.7587593797812	-21.7652503670089	-28.7048936656896	-22.7469553546748
101	-18.2594845355218	-20.4815789186992	-29.9832974273912	-20.9982193988595
101.5	-17.4409665370794	-19.3766736873435	-31.2806469163035	-19.6662653919202
102	-17.7978178092488	-18.7533850377049	-32.1366952679416	-18.9573769556517
102.5	-19.2708520806856	-18.7074369564797	-32.5322731653643	-18.8912857145041
103	-22.1558962418287	-19.5048252695577	-33.1567900883043	-19.696306727689
103.5	-27.6597856968729	-21.6311031951781	-34.6992700438797	-21.8508427703677
104	-48.4867842650407	-25.971542429059	-36.3799778849498	-26.3860188022985
104.5	-30.3251505368928	-32.0125146011097	-34.9475111217663	-35.0994467732842
105	-24.7768278812674	-27.5963580104082	-32.2467709404828	-29.4189542525285
105.5	-22.4370942939529	-23.7023213437417	-30.6893388613828	-24.672092364227
106	-21.6333565576456	-21.9537532442236	-30.1061198781771	-22.6750490424606
106.5	-21.9554570291064	-21.2446352781541	-29.7006722776211	-21.9132609800084
107	-23.3756341934115	-21.0884281201885	-29.2127375758599	-21.8148124787281
107.5	-26.2097730531316	-21.5164014327324	-29.2975420762039	-22.3082882691026
108	-31.7125369410165	-22.8153785336441	-30.7187587805935	-23.5832225054691
108.5	-54.4898846574594	-25.2363198473504	-33.4786353641846	-25.9415611731916
109	-33.7417504971836	-28.9605299808217	-35.8607439766982	-29.9522927226037
109.5	-28.1938303418075	-34.0345738885527	-36.9966510801301	-37.0936380794055
110	-25.7556217338771	-34.2727132349609	-41.0488508335765	-35.2968862089702
110.5	-24.8113955036272	-29.1809875508343	-52.3085740339695	-29.2021752900678
111	-24.9485361672192	-26.2875205557412	-37.7603895772491	-26.6084772332306
111.5	-26.1115322789692	-25.6371350261669	-33.7756706396638	-26.3609344192473
112	-28.5303972162318	-26.5953365758319	-32.489179665535	-27.8878119052006
112.5	-33.0845140157085	-27.7988260191209	-31.351146147724	-30.3273083514705
113	-45.1412184109575	-27.8897681939685	-29.6125313695124	-32.7382998725649
113.5	-39.508129266719	-27.8841399857417	-28.3816986583392	-37.5399445285705
114	-32.226541302528	-27.6172839978201	-28.2059342095021	-36.5875552359219
114.5	-29.1619581780053	-26.1361374081214	-28.905940858337	-29.4010364586162
115	-27.7873066103873	-25.1636908203132	-30.3595404966101	-26.7269034423234
115.5	-27.5216161798378	-25.547269939252	-32.8350654993263	-26.444936988955
116	-28.2192516804671	-25.8963529876315	-36.3499747615114	-26.3063302291002
116.5	-29.9785958769577	-24.9176141436127	-36.8090007259633	-25.2080750984559
117	-33.2690963594305	-24.3826425841383	-34.6716981837008	-24.8092563258461
117.5	-39.961309980329	-25.16031511467	-34.0968874182756	-25.753878767425
118	-53.6185168045425	-26.384836617597	-34.9024587251555	-27.0432963087639
118.5	-37.580749312084	-27.621507399098	-35.5456993194217	-28.3853379702405
119	-32.9661626996779	-29.8024948524131	-34.1923657694597	-31.7674174086398
119.5	-30.7443780009873	-29.9064572026836	-32.1394498609152	-33.8641899806208
120	-29.7919551709487	-27.4480112334101	-31.276212959058	-29.7703035637726
120.5	-29.7797428514213	-26.844533310687	-32.5422267708537	-28.2071212321407
121	-30.6448603400603	-27.4190926599381	-37.4264124206727	-27.8758550198169
121.5	-32.5247519146212	-27.1798810349015	-63.5338949250922	-27.1808866532809
122	-35.922616250575	-27.2373123620208	-39.731306451544	-27.4890278208575
122.5	-42.8241661951402	-27.3637723870928	-35.6266327191821	-28.0654013834454
123	-55.004393187966	-25.5909972994147	-33.5793676708917	-26.3425947761381
123.5	-39.8487791768585	-24.6881007710483	-31.7544503599535	-25.6382480406889
124	-35.266457712315	-25.5751892786736	-30.7935647136743	-27.1286788247694
124.5	-32.9833170116042	-25.9057353352076	-30.8800136921959	-27.5685680606177
125	-31.9107100933413	-25.6789024205793	-30.9989865386723	-27.1893748495805
125.5	-31.7141516871235	-27.0890155039512	-30.8978266567951	-29.4250690711239
126	-32.3033035944562	-26.6445663958334	-31.8588156721123	-28.1998315718062
126.5	-33.7453010343732	-24.3475023266737	-35.1196652639846	-24.7271786721717
127	-36.3309285279057	-24.3442058298014	-41.0144347474464	-24.4387159589023
127.5	-40.9861629378272	-25.5284438442877	-37.9615732886202	-25.7838183414385
128	-52.9253140412304	-24.9637730629357	-32.5022729023038	-25.8058634854335
128.5	-46.4791246187595	-23.8315975913833	-29.531080637064	-25.1935261576039
129	-39.3677399607462	-22.0017319600418	-28.6991892688441	-23.0470723274877
129.5	-36.0738065523292	-19.750668241805	-29.3585929119565	-20.2540750437078
130	-34.3066949456703	-18.7489027694118	-29.9316507046257	-19.0929337221309
130.5	-33.477654890282	-18.8364673035304	-29.403553996561	-19.2353711071891
131	-33.3755088588461	-18.8753260197873	-29.5920062820053	-19.260106721953
131.5	-33.9435591553974	-19.2431305532956	-31.0983316448336	-19.5361055825827
132	-35.2373518015371	-21.0482724711813	-32.0730082138365	-21.405589832858
132.5	-37.4702972504869	-21.7851766706644	-32.0093121161416	-22.2185469342865
133	-41.2494953170643	-19.5085551890699	-33.4122673552492	-19.6890253288162
133.5	-49.0230439204115	-17.838692760781	-37.7286639481283	-17.8834665612227
134	-54.7232622361141	-16.5409236541644	-41.2314535121178	-16.5556966905656
134.5	-43.5542186645865	-15.772149704797	-39.7841588835456	-15.7894258527413
135	-39.2555976773261	-16.3766504701126	-41.97535002073	-16.3886320281677
135.5	-36.9048483512507	-16.417946530308	-42.6378614686944	-16.4283292672514
136	-35.5873236234213	-14.8560999590651	-38.4593053661698	-14.8750850498977
136.5	-34.9838408636955	-14.8792824357054	-37.7632996641905	-14.9016955787895
137	-34.9660815072355	-16.6291378491079	-38.7830369459802	-16.6556668060125
