Угол	TotalAntenna	TotalRadom	ThetaRadom	PhiRadom	TotalReflaction	ThetaReflaction	PhiReflaction	TotalRefInterpolation	ThetaRefInterpolation	PhiRefInterpolation	TotalRadomeCombined	ThetaRadomeCombined	PhiRadomeCombined	TotalRadomeCombinedInterpolation	ThetaRadomeCombinedInterpolation	PhiRadomeCombinedInterpolation
54	-32.3033035944562	-29.310681477219	-43.6455091197728	-29.4737727001892	-32.9779304368024	-55.1548416490793	-33.0043187687508	-28.1603450274389	-35.1522923284453	-29.1288835247553	-28.148389069977	-45.1693825434493	-28.2354920136107	-24.0843955852094	-35.3084276898975	-24.4250405923588
55	-31.9107100933412	-30.6703294436941	-45.116334263405	-30.8292222545823	-35.3354061765386	-53.6671050558441	-35.3996486997274	-27.9814211187523	-35.0077427234449	-28.9414139072258	-35.9908745416113	-44.3138733860798	-36.6820442283	-24.8195223944299	-36.4405157895745	-25.1293234901118
56	-35.2664577123148	-37.3506154954252	-43.3008974154948	-38.6236974979793	-37.1287716132541	-51.5421152724925	-37.2888862676422	-28.8989388538706	-37.6374754376478	-29.5222787592122	-41.5941408581053	-42.3274017901611	-49.6808717193279	-27.5452586883783	-35.2175465138461	-28.3592496351736
57	-55.0043931879655	-34.1744724371047	-39.8435282200087	-35.5476624098744	-38.5373297761206	-50.5791628890211	-38.8175747963168	-31.8011204153647	-45.0786580098171	-32.0102646013569	-38.0087804966154	-38.8361269486994	-45.6168575468995	-36.8473446650592	-38.8323259782116	-41.2023775804615
58	-35.9226162505751	-32.7529140142084	-36.8286870213507	-34.9083208581391	-39.334458889273	-51.1874113326123	-39.627590889477	-37.7279860324284	-41.0994138491954	-40.4048952405794	-31.8975286208914	-35.804505378935	-34.1649781251945	-31.3890695885782	-32.6882873709575	-37.2635195616738
59	-30.6448603400603	-32.1977074354685	-34.3933077194231	-36.211666095209	-40.208965758914	-53.4518492543693	-40.4198268052453	-35.1498970820213	-36.4237708297976	-41.0978554646533	-29.9366104505499	-33.567236658701	-32.4042155556463	-30.4494011016985	-30.7530653242508	-42.1542554033937
60	-29.7919551709487	-30.4714690113486	-33.2624662460936	-33.7127373532161	-40.8435022076224	-57.7452725436796	-40.9330546022452	-34.3534231824786	-34.6060533552001	-46.8321168941489	-31.1578235632649	-32.7955814770516	-36.1863451982904	-29.9293532850703	-31.3154575056953	-35.5638722627527
61	-32.9661626996778	-32.3724087347507	-33.0870945138091	-40.5615440014346	-41.2440043776407	-59.2117210164958	-41.3139085612949	-35.1916816004097	-39.9189799969114	-36.9747189126568	-32.7268347155041	-33.0678707564277	-43.946077278822	-31.246037942196	-37.0539532735664	-32.5686994833182
62	-53.6185168045406	-31.3023001612949	-33.2396587582594	-35.7407718466196	-42.0109623198075	-57.3858469666111	-42.138803934512	-32.7569283151079	-39.1765670678697	-33.8810544673075	-31.5309890933793	-33.7090130056015	-35.5718003393085	-30.5090843269544	-30.6018385791324	-47.2598837417578
63	-33.2690963594306	-28.2636467835856	-33.8381114523312	-29.6725464530354	-42.4643347342685	-53.8994351288445	-42.7882019632124	-30.6669908869401	-35.7035841170758	-32.301056518821	-30.0069891048653	-34.7032117682916	-31.8058878646155	-26.0612084736879	-28.7381490052335	-29.4325995353829
64	-28.2192516804671	-30.3311680819939	-35.0765700722491	-32.1050437028906	-43.8540782309963	-51.3319814995349	-44.7092452319163	-31.2306404516992	-39.1566338857416	-31.9941246897025	-31.4963191471612	-36.0238828754395	-33.3843815398873	-27.0138977658226	-30.8832291578162	-29.3073453745462
65	-27.7873066103873	-36.9162425341969	-36.9881869997993	-54.7600343106284	-45.4056329162926	-50.9227479575395	-46.8367121620251	-32.3286445549978	-37.0629791258854	-34.1081142329423	-36.6332523439834	-37.4720619351375	-44.1871180466639	-29.1996206777689	-31.2943601789777	-33.3715163394247
66	-32.2265413025278	-31.1059912352701	-39.4912268063944	-31.7865140200455	-45.8715293044104	-50.6444209304261	-47.6316025989333	-27.653795847849	-37.5250679644381	-28.1259122560001	-32.2561222098063	-38.9056133963664	-33.3146081811998	-31.5145150387332	-32.8218742108564	-37.3657027934287
67	-45.1412184109582	-30.0234135422048	-41.4730966913057	-30.3461537528619	-45.9533129506833	-50.462465468418	-47.8514343698772	-29.0200605331984	-34.0823446733649	-30.6424403665315	-30.2295741658566	-39.9767376992835	-30.716172634441	-30.8710348296411	-31.4838135606517	-39.6786285115297
68	-28.5303972162317	-39.7354672428204	-43.1177197406953	-42.4031727635018	-47.153270979414	-51.375381647293	-49.217173856279	-28.7318356819127	-31.1374983025149	-32.4447810621041	-36.8974048149598	-40.7407014873441	-39.2090568423831	-27.0067692693425	-29.3065427003995	-30.8670238105909
69	-24.9485361672192	-29.4663145574587	-46.6066192060597	-29.5510339690936	-47.7148574944931	-51.524142369666	-50.0505736131372	-26.6771025191224	-30.8742384275345	-28.7562702582892	-30.1638983922305	-42.7215847285548	-30.4118425655961	-26.5183837513545	-29.5681599060478	-29.4895631080779
70	-25.7556217338771	-24.0744960200866	-52.1886115087357	-24.0812057989652	-48.2918223371365	-52.8854369828234	-50.1443337480923	-26.6889493971793	-33.7460762082655	-27.6413551437252	-24.201629690099	-46.5945955088049	-24.2267336552325	-26.8560724102161	-32.7648392425925	-28.1433867031487
71	-33.7417504971833	-24.6497630574313	-59.6863365927592	-24.6511251137297	-49.4854954710064	-55.6598997516648	-50.6848017864613	-32.8809320120877	-35.0595040073811	-36.920901755069	-24.4507418717318	-51.6875089468337	-24.4589551815348	-25.7582090520193	-34.5756720446866	-26.3694941728153
72	-31.7125369410166	-32.0670570151722	-55.7577030888898	-32.0856628715668	-50.3682899276212	-55.6106771041818	-51.9114940860185	-28.3461458696929	-31.6282039998537	-31.1006960178454	-31.3925717824521	-49.7460755696769	-31.4564901880321	-27.697980123643	-31.1363239942298	-30.3186652055351
73	-23.3756341934116	-23.1552170310805	-53.2236133560971	-23.1594942208634	-47.5291648833751	-56.770307552814	-48.0798635935917	-25.1394981096924	-31.1804173621775	-26.382133434181	-22.9284940293107	-49.5831637787622	-22.9378866521341	-28.6923855449597	-30.5200963707755	-33.3330070345034
74	-21.6333565576456	-18.71192023936	-56.9346928053127	-18.7125741821433	-46.1589778483615	-65.6240930175964	-46.2083793932212	-25.4985788438151	-34.197895898345	-26.1280035920218	-18.4169359972798	-59.0624374226216	-18.4173103257722	-22.7803011875547	-33.9615199020277	-23.1244582304493
75	-24.7768278812674	-19.1270097430595	-59.4107176115358	-19.1274165926346	-46.2656440795834	-58.9938398890179	-46.5037756101259	-25.6438871532745	-31.2820179369299	-27.0286342031276	-18.7623735481268	-53.4192961714176	-18.7638600531192	-21.4383009253042	-31.5482230363807	-21.8838322476452
76	-48.486784265042	-23.5732178930568	-53.70325778136	-23.577434772153	-45.8591489159958	-57.6427676603557	-46.1571638152458	-27.9310028215507	-30.9349642660624	-30.9476505548771	-22.9626355466266	-50.065877228605	-22.971105549827	-24.0841891598156	-30.673048301968	-25.1595593416664
