Угол	TotalAntenna	TotalRadom	ThetaRadom	PhiRadom	TotalReflaction	ThetaReflaction	PhiReflaction	TotalRefInterpolation	ThetaRefInterpolation	PhiRefInterpolation	TotalRadomeCombined	ThetaRadomeCombined	PhiRadomeCombined	TotalRadomeCombinedInterpolation	ThetaRadomeCombinedInterpolation	PhiRadomeCombinedInterpolation
26.5	-40.4325913899119	-36.5276595658424	-47.611898054949	-36.8799120358127	-44.8313861010289	-59.8298628481493	-44.9709901913397	-43.6347627796128	-48.7728543999475	-45.2232394273006	-36.1476002894687	-46.3367154565427	-36.5846618571376	-39.253900861523	-48.154207988912	-39.8528011831137
27	-39.5048570973125	-38.3491441919327	-47.2249999177258	-38.9516716806564	-43.5776499527144	-57.5826064276612	-43.7538760295254	-41.7823412821866	-50.8213792256259	-42.3610994138997	-38.6273101697004	-46.513051775444	-39.3985736579479	-36.3201346998055	-49.6558078970104	-36.5264307749504
27.5	-38.8738080500275	-36.6142014431606	-47.3845500134458	-36.9940435852114	-42.9988022587526	-56.4692690026835	-43.1986464505175	-44.4738011044614	-53.9112532297473	-44.9986281663962	-37.1576039898964	-47.4137979170445	-37.5876238511836	-34.1433268982148	-50.5679358644448	-34.2434000234589
28	-38.5166352224457	-35.7558905879702	-47.5308503782707	-36.0545211867972	-43.3730136946489	-56.0402078642423	-43.6146090978373	-56.4891181832246	-60.5481220755962	-58.6553356985801	-34.7965230731416	-48.6006468679233	-34.9812697000068	-35.4985543623333	-49.6333279183718	-35.6694872254577
28.5	-38.4297670480761	-36.1413399351787	-47.3390213344145	-36.4841420885814	-45.2495734375522	-55.5668202063357	-45.6732877325819	-46.3923400180857	-57.5057267414488	-46.742138715198	-34.0475585782285	-49.7584494062858	-34.1657515009436	-38.189859106459	-48.2147325662683	-38.6446790675609
29	-38.6273268858262	-35.2501541238303	-47.0585014476985	-35.5464179051936	-48.7174435130122	-55.2858133021328	-49.798587909171	-42.9260713690746	-53.4063618683696	-43.3334172916738	-34.0293889586162	-50.6774975793277	-34.1243870092152	-37.542419995776	-48.0688703315683	-37.9452532003143
29.5	-39.1444169339846	-33.4967478289084	-47.2735736362208	-33.6826846505392	-54.3571816851726	-56.098708168393	-59.1674280025964	-42.7552815320804	-56.1761264285896	-42.9574765020861	-33.3588627699911	-51.1621615942049	-33.4314868380036	-33.7867908714661	-48.9527438307614	-33.9210314312237
30	-40.0472733690711	-32.4369188607486	-48.4433310437025	-32.5472371018745	-54.2490649878763	-58.3387196136384	-56.3955744003989	-42.9046107728909	-73.7219272102506	-42.9082101937256	-32.1466667981357	-51.5818352513942	-32.1964121329849	-31.2266859344964	-48.8774716784448	-31.3019282970178
30.5	-41.4578497942164	-32.4724435650935	-50.0374858631262	-32.5491995463674	-47.8707597828162	-61.2933568642227	-48.0728712649945	-42.8411407556286	-56.690130327961	-43.0239481085736	-31.3942103426994	-52.1672446017705	-31.4307113337848	-30.6899123093029	-47.3490686800286	-30.7846663551349
31	-43.6174816759201	-33.9865693611256	-50.4261826637355	-34.0862933494708	-44.6029263593228	-63.9244331224605	-44.6539985801951	-41.688538422565	-51.1324874379247	-42.21253165642	-31.8627258415212	-51.6789050276846	-31.9082709412647	-31.3804791065587	-44.9547371893415	-31.5754962877021
