Угол	TotalAntenna	TotalRadom	ThetaRadom	PhiRadom	TotalReflaction	ThetaReflaction	PhiReflaction	TotalRefInterpolation	ThetaRefInterpolation	PhiRefInterpolation	TotalRadomeCombined	ThetaRadomeCombined	PhiRadomeCombined	TotalRadomeCombinedInterpolation	ThetaRadomeCombinedInterpolation	PhiRadomeCombinedInterpolation
10	-47.2960320697543	-31.9883828800453	-48.4886159169082	-32.0867088022092	-49.1225712059641	-63.4006218821052	-49.2878499379645	-44.9068657420473	-65.0472044360372	-44.9491191164322	-32.1814785555583	-47.9157250104579	-32.2990289054553	-30.8503667349048	-49.4818958919805	-30.9102939798703
10.5	-46.3193976474539	-30.9319341107858	-48.8791732154139	-31.0021713658438	-47.4515858135125	-65.9743313938739	-47.5130438999348	-41.9775321887234	-62.21032560374	-42.0188913082426	-31.1611446938029	-48.3073803004088	-31.2457473535333	-29.8712827870158	-47.2090389675923	-29.9522013834285
11	-45.3983727569965	-30.173321342357	-50.1767725787125	-30.216934549396	-45.3179748869445	-68.7032622568447	-45.3379391555952	-43.7532885820244	-57.1858930227931	-43.95492391084	-30.3319439721504	-49.3606387518596	-30.3866008488769	-29.5361271176698	-46.9952524335909	-29.6147953247996
11.5	-44.536266140999	-29.6305511575825	-51.7197056049262	-29.6574798089291	-43.8196985811366	-67.8866976630763	-43.8367569319431	-45.5336087987464	-53.8497087932751	-46.2259697228662	-29.6394829703822	-50.5068853723349	-29.6751961490405	-28.745775807525	-46.7106286752775	-28.8157264750813
12	-43.7346922959002	-29.3354586186592	-52.6127521643178	-29.3559267389576	-43.6316478446744	-64.5464997364767	-43.6669713749947	-44.492799690415	-51.6462810344989	-45.4219017028035	-29.1674348272638	-51.4411758487258	-29.1932395863148	-28.3036530179671	-46.1431533226471	-28.3756692034743
12.5	-42.9944646342725	-29.3013407852477	-52.4990743753408	-29.3221882336554	-45.0129198695218	-62.3796711659113	-45.0932950092099	-47.820262341646	-50.6106032973687	-51.0622587731535	-28.9305091694037	-52.2115680332371	-28.9509595097742	-28.7855405128587	-45.7222159943558	-28.874368659395
13	-42.3161421479429	-29.8498695644845	-51.8645761842067	-29.8772652842595	-48.3470277970707	-61.8420938263564	-48.5457170124592	-48.4017669249479	-49.1936941604804	-56.1827055989981	-29.276355609973	-52.6801858676635	-29.2962346247771	-29.4568746526545	-44.9329305711327	-29.5817298202248
13.5	-41.7003669679703	-31.7748519432822	-50.9774940563676	-31.8273498943059	-53.8065478463661	-62.4599790006879	-54.4431728234606	-48.1860752938658	-48.7283931276459	-57.4897171196566	-31.1765635261481	-52.3203028307538	-31.2100665847414	-31.4282514305742	-44.770031413248	-31.6342506435854
14	-41.1480812412937	-36.4451552660411	-50.2506738885334	-36.6298412876795	-50.2540950035886	-63.7817149968252	-50.451266247488	-45.4869279340065	-49.0015982066716	-48.0453854109768	-36.9478094164956	-51.6104561954942	-37.0988344718605	-38.0825529185408	-44.7617875309634	-39.132865627985
14.5	-40.6606793334379	-40.3107461090136	-50.3397453512264	-40.7651107970761	-45.2036935181823	-65.8631248949272	-45.2411660860487	-40.3127541251113	-48.2687324051759	-41.0704989759423	-42.6634155187601	-51.707310993629	-43.2414816439579	-37.2293336564666	-44.504339808775	-38.1299425817137
15	-40.2401316617807	-33.224585987396	-51.6938479701872	-33.286811094612	-42.5345618962402	-66.9151999335082	-42.5504295841627	-40.4152504271392	-48.8478857931712	-41.0877833771714	-31.5664264863041	-53.3374516987422	-31.5954086022786	-30.9407085666042	-46.1622331886757	-31.0732160413185
15.5	-39.8891054975581	-29.5457047125974	-55.3313450143947	-29.5571808029617	-41.2098366001905	-63.5823088186011	-41.2350596519835	-41.7335536176866	-53.4111042452228	-42.0392019568157	-27.6376921584755	-58.9229776851178	-27.6409237564594	-27.7236674498692	-51.6810546494131	-27.7411626961326
16	-39.6111031321511	-28.3791375005199	-60.3264071449748	-28.38191207296	-40.8069760869413	-59.4912350339971	-40.8661751739156	-39.2273184474666	-62.5397655000374	-39.2476211731542	-26.5564204558039	-63.9008510179383	-26.5572209925679	-26.1958088150702	-59.6912519263808	-26.1977512081235
16.5	-39.4106374773734	-29.0845040271155	-52.7585738085021	-29.103181187859	-41.2971301817863	-56.3201521698975	-41.4359347814719	-40.4048727497701	-59.4823746517757	-40.4589150009472	-27.5909459874602	-50.7758122378904	-27.6118554437327	-27.0368774801973	-53.8288458089182	-27.0459775013125
17	-39.293469248621	-31.7153652663376	-47.6173429020053	-31.8284037209474	-42.751596190518	-54.2774551594542	-43.0685149867714	-48.2075628752468	-56.0772556716522	-48.9819521115627	-30.961672554901	-45.7171898305283	-31.1094473523659	-30.9732033361156	-47.7591359310789	-31.0652022879085
17.5	-39.2669394563183	-36.8614510574897	-44.6318375023389	-37.6554921542789	-44.9941313148865	-53.2462025974871	-45.697654810051	-47.5063951880091	-53.1888341324999	-48.8746186108797	-37.6682920383726	-42.8939590352366	-39.2186496631474	-38.8790794971493	-44.9416990461848	-40.1145501806758
18	-39.3404489943269	-42.0017767998213	-42.4749284788096	-51.8640442531234	-46.9737474085916	-52.7920217648038	-48.2927268840352	-46.4299785918147	-54.5246025254089	-47.161789310231	-40.3774268972771	-40.8891125497177	-49.9185687812342	-41.7171520846248	-43.2714693656678	-46.93360335475
18.5	-39.5261701054406	-38.3189122275244	-40.6470467282988	-42.1388638284691	-47.1429379895324	-52.6205172722716	-48.5895461461428	-44.6779501564103	-58.6756776708302	-44.8544758590808	-36.1349693233053	-39.1942139939544	-39.0968700281579	-35.7985870727898	-40.5517372471359	-37.5685590987341
19	-39.8401360373811	-35.7621322368433	-39.3025450574373	-38.3000442438291	-46.4352964872978	-52.9194840430431	-47.540535387043	-42.802462507882	-54.4852050032796	-43.1077325308289	-34.9122518120597	-37.9679705998123	-37.8776030191019	-33.3690762652092	-38.503845184412	-34.9590210591905
19.5	-40.3039751680459	-35.2526556075747	-38.7191419631278	-37.8501650938497	-46.2418315667141	-53.8609559651464	-47.0668632000857	-43.5664833398239	-53.4461145880132	-44.0376408337625	-35.4345006242131	-37.4860343711369	-39.677019202087	-33.5604915422482	-37.9853805485364	-35.5055049793642
20	-40.9478041998982	-35.7084162077266	-38.9278141010638	-38.5192248236012	-47.1128233020709	-55.3089775982121	-47.8262547318254	-43.9801539559974	-56.1797484056949	-44.2500841542263	-36.2527414794749	-37.7831772709923	-41.5252029247088	-34.1303935658927	-38.3350922447507	-36.204923909654
20.5	-41.8153492925332	-35.2200510820533	-39.8348722221432	-37.0613232623869	-50.1727219913659	-57.2845963248315	-51.1118081216857	-47.386149920312	-57.8067236970877	-47.7994126385582	-35.8325811875144	-38.7945730803389	-38.8917326051808	-33.7110239831104	-38.9867187476005	-35.2400945123133
21	-42.9737243819931	-33.1394903503768	-41.4840026894449	-33.826959474305	-56.2463264724728	-60.1287699309113	-58.5306755284409	-54.1014484569922	-57.1980029781746	-57.0271736301033	-33.3152739269952	-40.6036031836612	-34.2128184449112	-33.011854348105	-40.3691804308166	-33.8937125552961
21.5	-44.5340701993816	-30.7211475405168	-43.9923857885658	-30.9306027453556	-53.2393859847954	-63.3005765615101	-53.6902148528423	-49.6439417810053	-60.103550944557	-50.0533267192179	-30.2753783812836	-43.3704533950073	-30.4937259955557	-30.8675193271582	-43.6505818711587	-31.1025789466761
22	-46.7016059002825	-28.8098112207205	-47.2256781272363	-28.8728116975565	-49.0624823819859	-63.7821875189817	-49.2115020095668	-52.0441396084681	-56.2188026017089	-54.1371646727985	-28.028611249778	-47.0948548778323	-28.0827946558491	-28.4138565159244	-50.798460380927	-28.4390090034456
22.5	-49.9247406678671	-28.1529584251386	-50.5812299855768	-28.1778585524025	-46.8857230050311	-62.0137220966423	-47.0211604257907	-45.2750374941203	-48.8266237204883	-47.8040996824212	-27.2835184795014	-51.5227720863932	-27.2999122322369	-28.1665411155835	-47.3215014069115	-28.2196221811214
23	-55.5119121440626	-29.1592269891556	-53.1818493377827	-29.1764608858901	-46.0179124672042	-60.7700094361686	-46.16580569631	-42.3759084410911	-46.0758967160607	-44.7911851552044	-28.3045420565583	-56.0319985981991	-28.3118771450894	-30.4574550610947	-43.3764907069918	-30.6850759333212
23.5	-65.2709530385916	-30.8955536360881	-54.4018300135125	-30.9149681731275	-46.5045931543506	-60.3630596827459	-46.6869935427878	-42.9354879284583	-47.3108877489522	-44.9087117703481	-30.0232384279676	-58.7356527333761	-30.0290841092355	-30.9869085459432	-44.1611424260131	-31.2012134487776
24	-54.7678099875781	-31.0770602950146	-54.9793850346953	-31.0947792246133	-48.3934001563207	-60.2975468843128	-48.6829798976349	-45.5160066274082	-54.6865359108186	-46.076340516113	-30.3710283152486	-58.8346187798922	-30.3772189439873	-29.6412692342542	-49.2596028602453	-29.6889488501866
24.5	-49.142615307759	-30.5915078693753	-55.1826799194876	-30.6066233744123	-52.1839664947856	-60.6118377489407	-52.8572978987415	-51.0433413753758	-56.66740675333	-52.4333824018868	-30.2546904188338	-56.9799872508112	-30.2639313682642	-30.4316569725882	-51.2476404785513	-30.4677972700218
25	-45.7611311725708	-30.8709137134737	-53.9232914815099	-30.8924724858531	-60.3792621611922	-61.8484576848008	-65.8002175707945	-48.0076525563044	-50.1420839596329	-52.1162681988885	-30.814332063443	-53.582447150248	-30.8373530187619	-31.166743610289	-47.4298966967899	-31.2706528351425
25.5	-43.4206937235062	-31.9128651056908	-51.3665353725014	-31.9623977556721	-54.8244288175894	-63.4896165521707	-55.4592006043082	-46.3805977040098	-49.1007152907661	-49.7018662946199	-31.9419780007393	-49.9161091371806	-32.011778179083	-31.1812554272694	-46.4580238862518	-31.3120625539022
26	-41.7064122420344	-33.7322802725222	-48.9900966290882	-33.8636682147271	-47.8294167867609	-62.6717229260054	-47.9742184886257	-48.6386951671904	-48.6546163619889	-73.0047398851711	-33.6273299144386	-47.381368114031	-33.8142662749464	-33.6931386279532	-46.6889929070736	-33.9166642065334
26.5	-40.4325913899119	-36.5276596523457	-47.6118980658752	-36.8799121287014	-44.8313861010288	-59.8298628481493	-44.9709901913397	-43.3600810733699	-48.5845254080094	-44.910963339986	-36.1476003725336	-46.3367154698307	-36.5846619475902	-38.4670879211952	-47.4416234338364	-39.0551194915541
27	-39.5048570973125	-38.3491442271456	-47.2249999301085	-38.9516717192669	-43.5776499527144	-57.5826064276612	-43.7538760295254	-40.1795541575494	-49.8162896953865	-40.6794332857424	-38.6273101916397	-46.5130517937522	-39.3985736805928	-35.420084732235	-49.1251285328254	-35.6091887801448
27.5	-38.8738080500275	-36.6142014739218	-47.3845499785037	-36.994043621978	-42.9988022587526	-56.4692690026836	-43.1986464505175	-41.7918548736667	-51.7497328572357	-42.2541353217999	-37.1576040124252	-47.4137978729895	-37.5876238806427	-33.4789737206645	-51.0055706863551	-33.5564183115852
28	-38.5166352224457	-35.7558906234601	-47.5308504096452	-36.05452122258	-43.3730136946488	-56.0402078642423	-43.6146090978373	-47.0541194187172	-55.7877624555065	-47.6782150887236	-34.7965231098819	-48.6006468994594	-34.9812697369732	-35.2717650037704	-51.2900845606261	-35.3817773332097
28.5	-38.4297670480761	-36.1413399002994	-47.3390214007143	-36.484142045392	-45.2495734375521	-55.5668202063356	-45.6732877325818	-41.2331702586468	-55.3410414972079	-41.4051865636173	-34.0475585483771	-49.7584495173377	-34.1657514672049	-39.49282321909	-49.983559914262	-39.899143276701
29	-38.6273268858262	-35.2501541463229	-47.0585014806878	-35.5464179269452	-48.7174435130121	-55.2858133021328	-49.7985879091709	-39.441260855747	-51.4093965961822	-39.726463015068	-34.0293889774953	-50.677497654678	-34.1243870268453	-40.9622775912114	-49.1519705148853	-41.6768636256838
29.5	-39.1444169339846	-33.4967478140953	-47.2735736786637	-33.6826846332216	-54.3571816851725	-56.098708168393	-59.1674280025962	-43.3041014198248	-53.0239496539632	-43.7939498514768	-33.3588627540581	-51.1621616596261	-33.4314868206987	-35.9407159395702	-49.5001665561558	-36.1364144096046
30	-40.0472733690711	-32.4369188754606	-48.4433310315312	-32.5472371172782	-54.2490649878763	-58.3387196136384	-56.3955744003989	-53.5036636708508	-64.6133002232862	-53.8537770670748	-32.1466668142899	-51.5818352489679	-32.1964121493531	-32.2003844493886	-49.1461723417255	-32.2890244981695
